Location,Camera_Install_Year,Latitude,Longitude,X,Y,January,Avg_Speed__2023_07_20,F85th_____2023_07_20,F_Compliance___2023_07_20,Avg_Speed___2023_08_20,F85th_____2023_08_20,F_Compliance___2023_08_20,Avg_Speed___2023_09_20,F85th_____2023_09_20,F_Compliance___2023_09_20,Avg_Speed___2023_10_20,F85th_____2023_10_20,F_Compliance___2023_10_20,Avg_Speed___2023_11_20,F85th_____2023_11_20,F_Compliance___2023_11_20,Avg_Speed___2023_12_20,F85th_____2023_12_20,F_Compliance___2023_12_20,Avg_Speed___2023_01_21,F85th_____2023_01_21,F_Compliance___2023_01_21,Avg_Speed___2023_02_21,F85th_____2023_02_21,F_Compliance___2023_02_21,Avg_Speed___2023_03_21,F85th_____2023_03_21,F_Compliance___2023_03_21,Avg_Speed___2023_04_21,F85th_____2023_04_21,F_Compliance___2023_04_21,Avg_Speed___2023_05_21,F85th_____2023_05_21,F_Compliance___2023_05_21,Avg_Speed___2023_06_21,F85th_____2023_06_21,F_Compliance___2023_06_21,Avg_Speed___2023_07_21,F85th_____2023_07_21,F_Compliance___2023_07_21,Avg_Speed___2023_08_21,F85th_____2023_08_21,F_Compliance___2023_08_21,Avg_Speed___2023_09_21,F85th_____2023_09_21,F_Compliance___2023_09_21,Avg_Speed___2023_10_21,F85th_____2023_10_21,F_Compliance___2023_10_21,Avg_Speed___2023_11_21,F85th_____2023_11_21,F_Compliance___2023_11_21,Avg_Speed___2023_12_21,F85th_____2023_12_21,F_Compliance___2023_12_21,Avg_Speed___2023_01_22,F85th_____2023_01_22,F_Compliance___2023_01_22,Avg_Speed___2023_02_22,F85th_____2023_02_22,F_Compliance___2023_02_22,Avg_Speed___2023_03_22,F85th_____2023_03_22,F_Compliance___2023_03_22,Avg_Speed___2023_04_22,F85th_____2023_04_22,F_Compliance___2023_04_22,Avg_Speed___2023_05_22,F85th_____2023_05_22,F_Compliance___2023_05_22,Avg_Speed___2023_06_22,F85th_____2023_06_22,F_Compliance___2023_06_22,Avg_Speed___2023_07_22,F85th_____2023_07_22,F_Compliance___2023_07_22,Avg_Speed___2023_08_22,F85th_____2023_08_22,F_Compliance___2023_08_22,Avg_Speed___2023_09_22,F85th_____2023_09_22,F_Compliance___2023_09_22,Avg_Speed___2023_10_22,F85th_____2023_10_22,F_Compliance___2023_10_22,Avg_Speed___2023_11_22,F85th_____2023_11_22,F_Compliance___2023_11_22,Avg_Speed___2023_12_22,F85th_____2023_12_22,F_Compliance___2023_12_22,Avg_Speed___2023_01_23,F85th_____2023_01_23,F_Compliance___2023_01_23,Avg_Speed___2023_02_23,F85th_____2023_02_23,F_Compliance___2023_02_23,Avg_Speed___2023_03_23,F85th_____2023_03_23,F_Compliance___2023_03_23,Avg_Speed___2023_04_23,F85th_____2023_04_23,F_Compliance___2023_04_23,Avg_Speed___2023_05_23,F85th_____2023_05_23,F_Compliance___2023_05_23,Avg_Speed___2023_06_23,F85th_____2023_06_23,F_Compliance___2023_06_23,Avg_Speed___2023_07_23,F85th_____2023_07_23,F_Compliance___2023_07_23,Avg_Speed___2023_08_23,F85th_____2023_08_23,F_Compliance___2023_08_23,Avg_Speed___2023_09_23,F85th_____2023_09_23,F_Compliance___2023_09_23,Avg_Speed___2023_10_23,F85th_____2023_10_23,F_Compliance___2023_10_23,Avg_Speed___2023_11_23,F85th_____2023_11_23,F_Compliance___2023_11_23,December,ObjectId
E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.,2020,45.2814636,-75.74395486,364113.24,5016001.158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,48,50,41,48,53,40,47,59,39,45,66,40,45,63,40,45,62,40,45,63,40,45,62,40,45,63,40,45,63,39,44,68,39,44,70,38,43,72,38,43,74,37,42,77,37,42,79,38,43,73,38,43,73,38,43,74,38,42,75,39,43,71,39,43,73,38,42,77,37,42,79,36,41,82,37,42,80,37,41,82,37,41,82,37,41,82,37,41,81,35,40,86,37,42,80,37,42,79,37,42,80,37,41,84,36,41,84,36,40,86,TBD,1
E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,45.46910126,-75.45925606,386178.806,5037101.789,N/A,62,71,44,62,70,46,60,68,56,59,67,60,58,66,64,59,66,63,59,66,63,57,65,68,59,66,63,59,66,62,59,66,63,59,66,62,59,66,62,59,66,64,58,65,67,58,65,68,58,65,69,57,64,74,57,64,73,56,63,75,58,64,70,57,64,72,57,64,73,57,64,71,58,65,68,58,64,70,57,63,74,57,63,74,57,63,75,55,62,79,55,62,80,56,62,79,57,63,76,56,62,78,56,62,78,57,63,76,57,63,74,57,63,76,56,62,78,56,62,79,55,61,82,TBD,2
E003 - Bayshore Dr. near 50 Bayshore Dr.,2020,45.35063734,-75.80628401,359157.22,5023644.251,N/A,44,53,32,42,51,41,40,49,54,39,48,59,38,47,64,38,47,62,38,47,66,37,46,68,38,47,65,38,46,67,38,46,67,37,46,67,38,46,66,38,46,66,37,46,69,37,46,69,37,45,70,37,45,71,37,45,72,36,44,74,37,45,70,37,45,71,37,45,70,37,45,70,37,45,69,37,45,70,37,44,72,37,44,73,36,44,74,36,43,76,36,43,77,36,43,77,37,44,73,36,44,75,36,43,75,36,43,76,37,44,74,36,44,74,36,43,78,36,42,78,35,42,81,TBD,3
E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr. ,2020,45.30800918,-75.89990585,351856.62,5018848.182,N/A,N/A,N/A,N/A,45,54,31,44,54,41,43,53,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,51,55,41,51,56,41,50,59,41,50,59,41,50,58,41,50,57,41,50,59,40,49,63,40,49,63,39,48,66,39,47,67,38,47,70,38,46,71,39,48,68,39,47,69,39,46,69,39,46,69,39,47,66,39,47,68,38,45,72,38,45,72,38,45,72,38,45,74,37,44,77,37,44,76,38,44,74,38,44,75,38,44,74,38,44,73,39,45,70,38,44,73,37,43,77,37,43,76,37,43,77,TBD,4
E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ,2020,45.47896899,-75.4782706,384678.063,5038179.308,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,48,55,41,48,55,40,47,58,38,45,69,40,46,63,40,46,61,40,46,60,40,46,62,40,46,59,40,46,61,39,44,68,39,44,69,39,44,69,38,44,72,38,44,73,37,43,76,38,44,70,38,43,73,38,43,76,37,42,77,38,43,73,38,43,74,37,42,79,37,42,79,37,41,82,37,41,81,36,41,83,37,41,82,37,42,79,37,42,79,37,41,80,37,41,81,38,43,75,38,42,77,37,41,83,37,41,82,37,41,82,TBD,5
E006 - Ogilvie Rd between Appleford St. and Elmlea Gate,2020,45.4391538,-75.59991898,375217.24,5033640.937,N/A,N/A,N/A,N/A,55,64,30,53,63,38,52,62,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49,57,60,50,58,55,50,58,55,50,58,57,49,56,61,49,57,60,50,57,60,48,56,66,49,56,66,49,56,66,48,55,70,47,54,71,47,54,72,48,55,69,48,55,69,47,54,72,48,54,71,48,55,67,49,55,66,38,54,71,47,54,72,47,54,74,47,53,76,46,52,78,46,53,77,47,53,74,47,53,76,46,52,78,47,53,76,48,53,73,47,53,74,46,52,78,46,52,78,46,52,79,TBD,6
E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,45.40031162,-75.63584852,372452.693,5029293.619,N/A,53,61,43,53,61,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,58,58,49,57,61,47,55,70,48,56,67,49,56,65,49,56,64,49,56,65,49,56,64,49,56,65,47,55,70,47,55,71,47,54,72,46,54,74,46,54,75,46,53,76,46,53,76,46,53,75,46,53,76,46,53,75,48,54,69,48,54,71,46,53,77,46,53,77,47,53,78,46,53,78,45,52,80,45,52,80,46,52,80,45,52,81,45,51,82,45,51,82,46,52,79,46,52,79,44,51,84,44,51,84,44,50,85,TBD,7
E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,45.34465537,-75.75007177,363568.007,5023018.969,N/A,42,50,45,42,50,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,46,62,39,45,65,39,44,70,39,44,69,39,44,68,39,45,66,39,45,66,39,45,65,39,45,67,38,44,71,38,44,72,38,43,74,38,43,75,38,43,74,38,43,76,38,43,75,38,43,75,38,43,75,38,43,74,39,44,71,38,43,72,37,42,77,38,42,77,37,42,78,37,42,80,37,41,81,37,41,81,37,42,80,37,42,80,37,41,81,37,42,79,38,42,77,38,42,78,37,41,82,36,41,83,36,41,85,TBD,8
E009 - BEARBROOK RD between CENTREPARK DR  and INNES RD ,2021,45.43322705,-75.56546896,377920.066,5033013.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,47,60,39,46,64,39,45,66,38,43,72,38,44,70,39,45,63,39,45,65,38,43,72,38,43,73,38,45,69,38,44,72,37,43,75,37,43,75,38,43,74,37,43,76,36,41,82,37,42,80,37,42,77,37,42,77,37,42,80,37,42,80,37,42,80,TBD,9
E010 - ALTA VISTA DR between AYERS AVE and RIDGEMONT AVE ,2021,45.37627225,-75.66090557,370518.882,5026601.406,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,50,47,41,49,49,40,48,55,40,47,56,42,49,44,42,49,46,40,48,54,40,48,54,39,46,63,40,47,58,38,46,64,38,45,69,38,45,68,39,46,60,39,46,63,39,46,62,41,47,52,41,47,51,38,45,66,38,45,65,38,45,66,TBD,10
E011 - GREENBANK RD between HARRISON ST and BANNER RD ,2021,45.33408694,-75.78383463,360932.629,5021820.448,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59,67,62,59,67,63,58,66,65,0,0,0,59,66,64,58,65,67,57,64,71,57,64,73,56,63,76,56,63,77,55,62,80,56,62,79,56,63,78,56,62,79,56,62,79,56,62,78,57,63,77,56,62,78,55,62,81,55,61,82,55,61,84,TBD,11
E012 - ABBOTT ST E between MOSS HILL TRL and SHEA RD ,2021,45.26520237,-75.90999805,351100.048,5014085.381,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,39,46,60,39,46,61,39,46,63,40,47,55,37,45,69,39,46,65,41,49,53,40,47,62,39,46,67,38,44,73,37,44,74,38,45,72,37,44,75,37,43,78,37,43,77,38,45,69,38,45,69,37,43,78,37,42,79,36,42,81,TBD,12
"E013 - ST-LAURENT, BOULEVARD between NORANDA AVE and CLARKE AVE ",2021,45.43843109,-75.64533439,371665.053,5033521.854,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,50,58,58,50,58,58,50,57,60,49,57,61,50,57,62,49,56,65,49,56,65,48,56,67,47,55,71,47,53,75,47,54,75,48,54,73,47,54,74,47,53,75,47,53,75,48,54,72,47,54,73,47,53,77,47,53,77,46,52,80,TBD,13
E014 - TENTH LINE RD between AMIENS ST  and DES EPINETTES AVE ,2022,45.47178519,-75.49442704,383424.957,5037365.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,56,63,77,56,62,78,55,62,81,55,62,81,55,61,82,54,61,83,54,61,85,54,61,84,55,61,83,54,60,85,53,59,89,54,60,86,54,61,85,54,60,85,53,60,88,54,60,87,53,60,88,TBD,14
E015 - FISHER AVE between DEER PARK RD and KINTYRE PRIV ,2022,45.36465138,-75.71241514,366497.227,5025269.242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,58,57,49,57,60,48,56,65,47,55,68,47,55,69,48,56,67,47,55,69,47,54,71,47,54,70,48,55,67,48,55,69,46,53,76,46,53,77,46,52,79,TBD,15
E016 - KANATA AVE between GOULBOURN FORCED RD and WALDEN DR ,2022,45.32300041,-75.92470916,349899.766,5020499.927,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,48,59,39,47,64,38,45,70,37,43,76,36,42,79,37,43,77,37,42,79,36,42,80,37,42,80,37,43,78,37,42,78,36,41,84,36,41,84,35,40,85,TBD,16
E017 - ABBEYHILL DR between ALDBURN PL and SHERWOOD ST ,2022,45.2949096,-75.88133355,353324.147,5017403.484,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,45,70,38,44,72,37,43,77,37,43,76,37,43,76,37,42,79,37,42,79,37,42,78,38,43,75,37,42,77,36,41,81,36,41,81,36,41,84,TBD,17
E018 - WOODROFFE AVE between GEORGINA DR and HWY417 IC127 RAMP36  ,2023,45.365,-75.77,361967.928,5025250.768,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,51,83,42,51,84,42,50,85,42,50,86,42,50,85,42,50,86,41,49,89,40,49,89,40,49,90,TBD,18
E019 - Bridgestone between Sunnybrook and Granite,2023,45.27853145,-75.85731771,355222.495,5015597.178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,41,85,36,41,84,36,40,86,35,39,91,35,39,90,35,40,88,TBD,19
E023 - Crestway between Oldfield and Hathaway,2023,45.28511742,-75.70957727,366806.441,5016432.056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,50,55,42,51,48,42,51,49,40,47,63,40,46,66,39,45,69,TBD,20
